date,city,race_no,horse_name,actual_rank,ganyan,model_score,is_winner,momentum_5,combo_win_rate,track_win_rate,quantum_chaos,galop_count,galop_speed,hp,weight
18/01/2026,İzmir,4,ANADOLU MUHAFIZI,12,48.5,0.048715449533967135,0,0.08000000000000007,0.0,0.0,0.14400000000000013,0,0.0,34,0.0
18/01/2026,İzmir,4,CÖMERT TAY,13,14.85,0.2586230456963456,0,0.0,0.3333333333333333,0.2,0.24666666666666665,5,0.0,37,0.0
18/01/2026,İzmir,5,BEYAZIŞIK,1,1.55,0.28974214910159396,1,0.76,1.0,0.4090909090909091,0.6080000000000001,0,0.0,104,61.0
18/01/2026,İzmir,5,KAYAFATİH,2,21.8,0.23967491069148625,0,0.52,0.2857142857142857,0.27586206896551724,0.1247027914614121,5,0.0,99,61.0
18/01/2026,İzmir,5,RÜZGARDAHAN,3,4.15,0.2570225448661916,0,0.54,0.2857142857142857,0.2,0.222095238095238,0,0.0,101,61.0
18/01/2026,İzmir,5,KARİZMATİK,4,7.1,0.19262601038673344,0,0.4,0.23529411764705882,0.2222222222222222,0.8777342047930283,5,0.0,98,61.0
18/01/2026,İzmir,5,CANMETE,5,6.45,0.09931235265434456,0,0.5,0.0,0.1,0.8233333333333333,5,0.0,107,61.0
18/01/2026,İzmir,5,TAHSİN SEFA,6,32.2,0.12767777384367301,0,0.5,0.0,0.0,0.9,0,0.0,58,58.0
18/01/2026,İzmir,5,ERSANŞAH,7,11.0,0.14717156671297424,0,0.6599999999999999,0.0,0.25,0.9563333333333331,5,0.0,98,61.0
18/01/2026,İzmir,5,SON İZCİ,8,6.25,0.27788135165032196,0,0.55,0.5,0.5,0.3066666666666666,0,0.0,86,58.0
18/01/2026,İzmir,5,VARLIK EFESİ,9,19.5,0.0741349171775011,0,0.45999999999999996,0.0,0.16666666666666666,0.7068888888888887,5,0.0,84,61.0
18/01/2026,İzmir,5,İKİGAİ,10,47.45,0.12616574903967195,0,0.5599999999999999,0.0,0.2,0.8426666666666667,5,0.0,66,61.0
18/01/2026,İzmir,5,BEYAZIŞIK,1,1.55,0.28974214910159396,1,0.76,1.0,0.4090909090909091,0.6080000000000001,0,0.0,104,61.0
18/01/2026,İzmir,5,KAYAFATİH,2,21.8,0.23967491069148625,0,0.52,0.2857142857142857,0.27586206896551724,0.1247027914614121,5,0.0,99,61.0
18/01/2026,İzmir,5,RÜZGARDAHAN,3,4.15,0.2570225448661916,0,0.54,0.2857142857142857,0.2,0.222095238095238,0,0.0,101,61.0
18/01/2026,İzmir,5,KARİZMATİK,4,7.1,0.19262601038673344,0,0.4,0.23529411764705882,0.2222222222222222,0.8777342047930283,5,0.0,98,61.0
18/01/2026,İzmir,5,CANMETE,5,6.45,0.09931235265434456,0,0.5,0.0,0.1,0.8233333333333333,5,0.0,107,61.0
18/01/2026,İzmir,5,TAHSİN SEFA,6,32.2,0.12767777384367301,0,0.5,0.0,0.0,0.9,0,0.0,58,58.0
18/01/2026,İzmir,5,ERSANŞAH,7,11.0,0.14717156671297424,0,0.6599999999999999,0.0,0.25,0.9563333333333331,5,0.0,98,61.0
18/01/2026,İzmir,5,SON İZCİ,8,6.25,0.27788135165032196,0,0.55,0.5,0.5,0.3066666666666666,0,0.0,86,58.0
18/01/2026,İzmir,5,VARLIK EFESİ,9,19.5,0.0741349171775011,0,0.45999999999999996,0.0,0.16666666666666666,0.7068888888888887,5,0.0,84,61.0
18/01/2026,İzmir,5,İKİGAİ,10,47.45,0.12616574903967195,0,0.5599999999999999,0.0,0.2,0.8426666666666667,5,0.0,66,61.0
18/01/2026,İzmir,6,DROWZEE,1,2.7,0.4200984753214227,1,0.7,0.6,0.3333333333333333,0.897777777777778,0,0.0,96,61.0
18/01/2026,İzmir,6,BRAVE CHAMPİON,2,2.2,0.2361321132118334,0,0.52,0.3333333333333333,0.23076923076923078,0.2277948717948719,5,0.0,89,57.5
18/01/2026,İzmir,6,DISTANCE RUNNER,3,3.2,0.3437310439422436,0,0.7,0.6666666666666666,0.5,0.8433333333333332,5,0.0,80,0.0
18/01/2026,İzmir,6,BLAZE THUNDER,4,3.8,0.14833242850174497,0,0.6799999999999999,0.0,0.4,0.8453333333333333,0,0.0,89,57.5
18/01/2026,İzmir,6,BATMAN ÇOCUĞU,5,5.4,0.19917127632062234,0,0.72,0.125,0.25,0.25183333333333324,5,0.0,92,61.0
18/01/2026,İzmir,6,DROWZEE,1,2.7,0.4200984753214227,1,0.7,0.6,0.3333333333333333,0.897777777777778,0,0.0,96,61.0
18/01/2026,İzmir,6,BRAVE CHAMPİON,2,2.2,0.2361321132118334,0,0.52,0.3333333333333333,0.23076923076923078,0.2277948717948719,5,0.0,89,57.5
18/01/2026,İzmir,6,DISTANCE RUNNER,3,3.2,0.3437310439422436,0,0.7,0.6666666666666666,0.5,0.8433333333333332,5,0.0,80,0.0
18/01/2026,İzmir,6,BLAZE THUNDER,4,3.8,0.14833242850174497,0,0.6799999999999999,0.0,0.4,0.8453333333333333,0,0.0,89,57.5
18/01/2026,İzmir,6,BATMAN ÇOCUĞU,5,5.4,0.19917127632062234,0,0.72,0.125,0.25,0.25183333333333324,5,0.0,92,61.0
18/01/2026,İzmir,7,SECRET FLIGHT,0,0.0,0.10182021286456051,0,0.6799999999999999,0.0,0.0,0.22399999999999992,5,0.0,60,54.0
18/01/2026,İzmir,7,KIZILCAHAMAM BEYİ,1,1.2,0.45026440823041103,1,0.8,1.0,1.0,0.07333333333333343,5,0.0,82,0.0
